iter	Passed	Remaining
0	0	82
1	1	73
2	2	69
3	2	68
4	3	67
5	4	66
6	4	64
7	5	63
8	6	62
9	6	62
10	7	61
11	9	66
12	9	65
13	10	64
14	11	63
15	11	62
16	12	62
17	13	61
18	14	61
19	15	60
20	15	59
21	16	59
22	17	59
23	18	58
24	19	58
25	20	57
26	21	57
27	22	57
28	22	56
29	23	55
30	24	54
31	25	53
32	26	53
33	27	52
34	27	51
35	28	50
36	29	49
37	30	49
38	30	48
39	31	47
40	32	46
41	33	45
42	34	45
43	35	44
44	35	43
45	36	42
46	37	41
47	38	41
48	38	40
49	39	39
50	39	38
51	40	37
52	41	36
53	42	35
54	42	34
55	43	34
56	44	33
57	44	32
58	45	31
59	46	30
60	47	30
61	47	29
62	48	28
63	49	27
64	49	26
65	50	26
66	51	25
67	52	24
68	52	23
69	53	22
70	54	22
71	55	21
72	55	20
73	56	19
74	57	19
75	58	18
76	58	17
77	59	16
78	60	15
79	60	15
80	61	14
81	62	13
82	63	12
83	64	12
84	64	11
85	65	10
86	66	9
87	67	9
88	67	8
89	68	7
90	69	6
91	69	6
92	70	5
93	71	4
94	72	3
95	72	3
96	73	2
97	74	1
98	74	0
99	75	0
